realPGA,Predicted PGA,"realPGA
 地震等級","Predicted PGA 
地震等級",等級差異,,
40.219,100.5989227,4,5,-1,,
8.1396,21.98742485,3,3,0,,
9.0972,19.18617821,3,3,0,0.8,0
9.0972,22.66018105,3,3,0,0.8~2.5,1
14.843,34.92403412,3,4,-1,2.5~8,2
9.3366,25.39262199,3,4,-1,8~25,3
14.125,20.53722191,3,3,0,25~80,4
6.9426,19.81485558,2,3,-1,80~250,5
6.7032,20.00136757,2,3,-1,250~400,6
17.237,43.68976593,3,4,-1,400up,7
11.012,21.11423683,3,3,0,,
9.0972,21.45894432,3,3,0,,
12.928,29.21750832,3,4,-1,,
7.4214,25.9167614,2,4,-2,,
24.419,43.76427841,3,4,-1,,
18.913,20.07780647,3,3,0,,
8.379,19.1345768,3,3,0,,
11.731,23.9781971,3,3,0,,
8.379,28.92137337,3,4,-1,,
6.2244,22.78423119,2,3,-1,,
9.8154,24.37520027,3,3,0,,
64.159,37.30176163,4,4,0,,
9.576,17.43312645,3,3,0,,
8.1396,22.20063972,3,3,0,,
26.573,25.83757973,4,4,0,,
8.379,24.75184822,3,3,0,,
6.2244,21.33677483,2,3,-1,,
22.504,44.46230698,3,4,-1,,
6.9426,29.09626961,2,4,-2,,
8.379,27.56996346,3,4,-1,,
18.673,49.08505249,3,4,-1,,
10.055,21.83756828,3,3,0,,
31.122,123.052681,4,5,-1,,
27.052,22.63572121,4,3,1,,
6.7032,51.06648254,2,4,-2,,
8.1396,28.56419182,3,4,-1,,
6.4638,23.93205452,2,3,-1,,
8.6184,27.32800102,3,4,-1,,
6.9426,25.54174232,2,4,-2,,
12.449,20.17800713,3,3,0,,
7.182,26.71692467,2,4,-2,,
13.885,25.66545296,3,4,-1,,
14.125,27.48812294,3,4,-1,,
7.182,33.43740463,2,4,-2,,
112.76,81.96431732,5,5,0,,
57.935,20.54248238,4,3,1,,
7.6608,21.62142372,2,3,-1,,
7.182,26.08003807,2,4,-2,,
13.885,44.13742065,3,4,-1,,
34.474,18.31789207,4,3,1,,
42.613,77.73744202,4,4,0,,
14.125,35.99868393,3,4,-1,,
7.9002,22.37567329,2,3,-1,,
7.9002,26.83088493,2,4,-2,,
7.6608,21.94656181,2,3,-1,,
14.125,36.12725449,3,4,-1,,
9.576,17.68124962,3,3,0,,
7.182,26.09198952,2,4,-2,,
11.491,27.78988457,3,4,-1,,
36.389,45.30735779,4,4,0,,
8.1396,20.83444405,3,3,0,,
33.277,30.42736626,4,4,0,,
9.0972,28.79479408,3,4,-1,,
6.9426,25.85674477,2,4,-2,,
10.055,37.19297791,3,4,-1,,
8.1396,18.47263145,3,3,0,,
15.8,23.63615227,3,3,0,,
11.491,18.52585793,3,3,0,,
9.8154,31.29233742,3,4,-1,,
29.207,26.9711132,4,4,0,,
9.3366,22.9877491,3,3,0,,
9.0972,24.90475655,3,3,0,,
11.252,23.93431664,3,3,0,,
10.534,29.9461956,3,4,-1,,
7.9002,24.64441109,2,3,-1,,
8.379,21.56727028,3,3,0,,
7.4214,19.32956505,2,3,-1,,
24.898,25.69449043,3,4,-1,,
12.209,45.23000717,3,4,-1,,
12.449,27.25739098,3,4,-1,,
9.3366,22.83706093,3,3,0,,
11.491,29.47278404,3,4,-1,,
9.576,23.35977364,3,3,0,,
8.1396,34.03541565,3,4,-1,,
56.738,20.65075111,4,3,1,,
8.8578,17.09405136,3,3,0,,
12.209,25.31293297,3,4,-1,,
6.4638,22.65102196,2,3,-1,,
7.6608,18.94418144,2,3,-1,,
22.504,19.68191338,3,3,0,,
16.04,24.4742794,3,3,0,,
9.3366,22.70404625,3,3,0,,
7.182,25.75109291,2,4,-2,,
13.406,22.31671333,3,3,0,,
7.6608,27.20630074,2,4,-2,,
15.8,22.35062599,3,3,0,,
38.065,115.8633041,4,5,-1,,
9.0972,27.9600544,3,4,-1,,
10.534,30.55313301,3,4,-1,,
10.055,22.83069038,3,3,0,,
15.8,66.02751923,3,4,-1,,
7.4214,23.52331734,2,3,-1,,
7.4214,23.62053108,2,3,-1,,
